City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bengkulu,ID,297.93,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
1,Sibolga,ID,298.3,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
2,Lusambo,CD,294.94,light rain,-4.9667,23.45,
10,Hobart,AU,291.07,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
13,Kapaa,US,299.37,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Buctzotz,MX,296.24,clear sky,21.2,-88.7833,Buctoztz
18,Alagoa Nova,BR,295.5,moderate rain,-7.0708,-35.7583,Di Cavalcanti Hotel e Restaurante
19,Kuala Terengganu,MY,299.12,clear sky,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
22,Esperance,AU,291.06,broken clouds,-33.8667,121.9,Hospitality Esperance
23,Mataura,NZ,296.27,clear sky,-46.1927,168.8643,Ellie's Villa
26,Bambous Virieux,MU,297.71,scattered clouds,-20.3428,57.7575,Casa Tia Villa
28,Busselton,AU,291.43,clear sky,-33.65,115.3333,Observatory Guest House
29,New Norfolk,AU,290.87,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
31,Adrar,MR,298.36,clear sky,20.5022,-10.0711,
37,Cape Town,ZA,292.66,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
39,Port Alfred,ZA,291.03,overcast clouds,-33.5906,26.891,The Halyards Hotel
40,Tallahassee,US,295.26,few clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
42,Rikitea,PF,299.43,clear sky,-23.1203,-134.9692,People ThankYou
43,Tuatapere,NZ,292.46,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
49,Puerto Ayora,EC,299.02,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Carnarvon,AU,298.19,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Guerrero Negro,MX,291.87,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
55,Fortuna,US,290.89,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
57,Santiago,CL,297.13,clear sky,-33.4569,-70.6483,Hotel Panamericano
59,Kruisfontein,ZA,290.31,clear sky,-34.0033,24.7314,Oyster Bay House Rental
61,Coquimbo,CL,290.3,clear sky,-29.9533,-71.3436,Hotel San Juan
62,Amapa,BR,295.59,light rain,1.0,-52.0,
73,Planaltina,BR,294.55,broken clouds,-15.4528,-47.6142,Retiro Maranata
78,Hilo,US,300.0,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
83,Maragogi,BR,298.98,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
87,Souillac,MU,297.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
88,Umm Kaddadah,SD,290.93,clear sky,13.6017,26.6876,
90,Whitefish,US,291.01,clear sky,48.4111,-114.3376,Best Western Rocky Mountain Lodge
99,Coari,BR,296.84,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
100,Marsh Harbour,BS,294.94,clear sky,26.5412,-77.0636,Abaco Beach Resort
101,Victoria,HK,291.45,light rain,22.2855,114.1577,Mini Hotel Central
103,Chuy,UY,290.04,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
104,Minab,IR,294.85,clear sky,27.1467,57.0801,Bam campground
106,Te Anau,NZ,296.02,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
108,Billings,US,293.02,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
111,Keningau,MY,298.23,overcast clouds,5.3378,116.1602,Sabindo Hotel
113,Touros,BR,299.96,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
115,Codrington,AU,293.08,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
116,Manakara,MG,296.42,light rain,-22.1333,48.0167,La Residence Manakara
118,Flinders,AU,295.4,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
119,Semporna,MY,299.37,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
121,Domingos Martins,BR,295.71,few clouds,-20.3633,-40.6592,Hotel Recanto Europeu
123,Tulua,CO,293.33,overcast clouds,4.0847,-76.1954,Hotel Corazón del Valle
124,Quatre Cocos,MU,297.64,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
125,Parrita,CR,299.72,overcast clouds,9.5201,-84.3225,Beso del Viento
126,Marawi,PH,297.91,broken clouds,7.9986,124.2928,Derogongan Residence
127,Nishihara,JP,290.75,broken clouds,26.1842,127.7558,Minshuku Agaihama
129,Puerto Quijarro,BO,296.36,few clouds,-17.7833,-57.7667,Hotel palance
131,Huarmey,PE,295.61,overcast clouds,-10.0681,-78.1522,Hotel Miramar
134,Namibe,AO,295.28,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
138,Cap Malheureux,MU,297.85,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
141,Lompoc,US,290.11,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
142,Road Town,VG,299.17,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
143,Batemans Bay,AU,293.2,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
144,Bredasdorp,ZA,291.44,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
146,Luanda,AO,299.15,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
148,Mabaruma,GY,296.08,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
149,Sao Filipe,CV,294.49,overcast clouds,14.8961,-24.4956,Hotel Xaguate
151,Arraial Do Cabo,BR,298.05,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
153,Morondava,MG,298.13,overcast clouds,-20.2833,44.2833,La Case Bambou
155,Kaitangata,NZ,292.6,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
159,Port Blair,IN,299.17,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
162,Rawson,AR,291.22,clear sky,-43.3002,-65.1023,Hosteria Sampedro
163,Port Lincoln,AU,294.14,clear sky,-34.7333,135.8667,Port Lincoln Hotel
168,Atuona,PF,299.32,overcast clouds,-9.8,-139.0333,Villa Enata
169,Galle,LK,298.31,clear sky,6.0367,80.217,Amangalla
173,Biak,ID,299.83,overcast clouds,-0.9131,122.8766,Penginapan Kim
174,Boffa,GN,297.32,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
175,Tezu,IN,296.75,clear sky,27.9167,96.1667,Circuit House
178,Prata,BR,295.78,overcast clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
179,Itarema,BR,298.36,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
187,Bodden Town,KY,299.15,broken clouds,19.2833,-81.25,Will T Place
189,Esmeraldas,BR,299.63,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
190,Saint-Philippe,RE,298.92,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
192,Idenao,CM,299.22,overcast clouds,4.2475,9.0047,Moland Beach Resort
194,Padang,ID,293.18,broken clouds,-0.9492,100.3543,Mercure Padang
200,Imbituba,BR,293.38,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
203,Barentu,ER,293.33,clear sky,15.1139,37.5928,
204,Ponta Do Sol,PT,290.4,overcast clouds,32.6667,-17.1,Hotel do Campo
205,Ribas Do Rio Pardo,BR,295.6,light rain,-20.4431,-53.7592,Pousada Avenida
206,Ambanja,MG,296.62,light rain,-13.6833,48.45,Hotel Salama and Fast Food
211,Pemangkat,ID,299.57,scattered clouds,1.1667,108.9667,Ramah Kost KITA
214,Buriti Bravo,BR,295.68,light rain,-5.8372,-43.8336,Hotel Brasil
221,Portland,US,294.17,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
228,Lamar,US,297.1,clear sky,33.6668,-95.5836,Kings Inn Paris TX
233,De Aar,ZA,293.18,scattered clouds,-30.6497,24.0123,Nyibiba Guesthouse
234,Cidreira,BR,293.79,clear sky,-30.1811,-50.2056,Hotel Castelo
235,Burnie,AU,293.67,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
238,San Jose,US,292.91,broken clouds,37.3394,-121.895,The Westin San Jose
241,Panaba,MX,296.05,clear sky,21.2833,-88.2667,Hotel California
243,Rantepao,ID,298.65,broken clouds,-2.9701,119.8978,Hotel Luta Resort
245,Port Elizabeth,ZA,291.54,clear sky,-33.918,25.5701,39 On Nile Guest House
247,Mahebourg,MU,297.31,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
253,Armidale,AU,290.26,overcast clouds,-30.5167,151.65,Abbotsleigh Motor Inn
254,Buchanan,LR,299.31,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
256,Reyes,BO,294.65,overcast clouds,-14.3167,-67.3833,
257,Labuhan,ID,300.0,light rain,-6.8844,112.2051,DoubleFAG
259,Nalut,LY,290.58,clear sky,30.3333,10.85,
