City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
0,Bengkulu,ID,-3.8004,102.2655,297.93,79,20,few clouds
1,Sibolga,ID,1.7427,98.7792,298.3,56,9,clear sky
2,Lusambo,CD,-4.9667,23.45,294.94,91,100,light rain
3,Matagami,CA,49.7502,-77.6328,255.21,78,100,overcast clouds
4,Shakiso,ET,5.75,38.9167,286.51,72,86,overcast clouds
5,Teya,RU,60.3778,92.6267,258.12,100,100,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,280.96,66,20,few clouds
7,Georgetown,MY,5.4112,100.3354,300.11,93,20,thunderstorm
8,Portmore,JM,17.9702,-76.8672,301.13,64,75,broken clouds
9,Turukhansk,RU,65.8167,87.9833,250.21,100,100,overcast clouds
10,Hobart,AU,-42.8794,147.3294,291.07,80,100,light rain
11,Talnakh,RU,69.4865,88.3972,257.91,97,96,overcast clouds
12,Beidao,CN,34.5686,105.8933,285.07,62,99,overcast clouds
13,Kapaa,US,22.0752,-159.319,299.37,66,0,clear sky
14,Nome,US,64.5011,-165.4064,271.19,69,0,clear sky
15,Castro,BR,-24.7911,-50.0119,289.67,81,4,clear sky
16,Hays,US,30.0502,-98.0336,300.35,26,0,clear sky
17,Buctzotz,MX,21.2,-88.7833,296.24,55,0,clear sky
18,Alagoa Nova,BR,-7.0708,-35.7583,295.5,98,82,moderate rain
19,Kuala Terengganu,MY,5.3302,103.1408,299.12,94,4,clear sky
20,Avarua,CK,-21.2078,-159.775,301.18,78,40,scattered clouds
21,Peterhead,GB,57.5058,-1.7981,279.37,81,2,clear sky
22,Esperance,AU,-33.8667,121.9,291.06,64,63,broken clouds
23,Mataura,NZ,-46.1927,168.8643,296.27,46,0,clear sky
24,Bluff,NZ,-46.6,168.3333,288.31,77,0,clear sky
25,Hithadhoo,MV,-0.6,73.0833,300.59,66,2,clear sky
26,Bambous Virieux,MU,-20.3428,57.7575,297.71,94,40,scattered clouds
27,Klaksvik,FO,62.2266,-6.589,277.66,80,100,overcast clouds
28,Busselton,AU,-33.65,115.3333,291.43,59,2,clear sky
29,New Norfolk,AU,-42.7826,147.0587,290.87,74,100,light rain
30,Westport,US,41.1415,-73.3579,277.14,56,100,overcast clouds
31,Adrar,MR,20.5022,-10.0711,298.36,12,5,clear sky
32,Punta Arenas,CL,-53.15,-70.9167,279.21,75,40,scattered clouds
33,Hanover,DE,52.3705,9.7332,281.59,87,1,fog
34,Provideniya,RU,64.3833,-173.3,266.21,73,0,clear sky
35,Lavrentiya,RU,65.5833,-171.0,264.79,79,29,scattered clouds
36,Butaritari,KI,3.0707,172.7902,300.5,65,76,broken clouds
37,Cape Town,ZA,-33.9258,18.4232,292.66,73,0,clear sky
38,Yevlax,AZ,40.6089,47.1492,280.21,46,12,few clouds
39,Port Alfred,ZA,-33.5906,26.891,291.03,93,86,overcast clouds
40,Tallahassee,US,30.4383,-84.2807,295.26,38,20,few clouds
41,Saskylakh,RU,71.9167,114.0833,254.64,95,100,overcast clouds
42,Rikitea,PF,-23.1203,-134.9692,299.43,63,5,clear sky
43,Tuatapere,NZ,-46.1333,167.6833,292.46,63,12,few clouds
44,Longyearbyen,SJ,78.2186,15.6401,258.06,72,88,overcast clouds
45,Freeport,US,40.6576,-73.5832,276.91,55,75,broken clouds
46,Aljezur,PT,37.3191,-8.8033,288.11,76,100,overcast clouds
47,Saint George,US,37.1041,-113.5841,302.18,9,0,clear sky
48,Cabo San Lucas,MX,22.8909,-109.9124,302.76,21,40,scattered clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,299.02,83,100,overcast clouds
50,Carnarvon,AU,-24.8667,113.6333,298.19,73,0,clear sky
51,Hermosillo,MX,29.0667,-110.9667,307.1,6,75,broken clouds
52,Guerrero Negro,MX,27.9769,-114.0611,291.87,64,100,overcast clouds
53,North Battleford,CA,52.7834,-108.2847,273.2,74,0,clear sky
54,Albany,US,42.6001,-73.9662,270.96,66,100,overcast clouds
55,Fortuna,US,40.5982,-124.1573,290.89,69,75,broken clouds
56,Buala,SB,-8.145,159.5921,301.45,78,100,light rain
57,Santiago,CL,-33.4569,-70.6483,297.13,39,0,clear sky
58,Anadyr,RU,64.75,177.4833,256.43,84,20,few clouds
59,Kruisfontein,ZA,-34.0033,24.7314,290.31,65,9,clear sky
60,La Chapelle-Sur-Erdre,FR,47.2958,-1.5531,285.07,72,0,clear sky
61,Coquimbo,CL,-29.9533,-71.3436,290.3,81,4,clear sky
62,Amapa,BR,1.0,-52.0,295.59,98,100,light rain
63,Beringovskiy,RU,63.05,179.3167,260.22,84,12,few clouds
